name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
WOODS,144,177425,60.15,20310.49,58.3,35.3,0.42,0.88,2.74,2.35
WASHINGTON,145,177386,60.14,20370.63,5.17,87.53,0.3,0.68,3.78,2.54
KENNEDY,146,176865,59.96,20430.58,80.82,13.63,0.62,0.61,1.87,2.45
WELLS,147,176230,59.74,20490.33,74,20,0.49,0.87,2.22,2.41
VARGAS,148,173835,58.93,20549.26,5.41,0.42,0.85,0.18,0.22,92.92
HENRY,149,170964,57.96,20607.22,61.43,30.68,0.84,1.87,2.34,2.84
CHEN,150,169580,57.49,20664.71,1.4,0.3,96.12,0.02,1.64,0.52
FREEMAN,151,169149,57.34,20722.05,65.5,28.34,0.52,0.95,2.38,2.3
WEBB,152,168878,57.25,20779.3,75.53,19.08,0.46,0.66,1.99,2.29
TUCKER,153,167446,56.77,20836.06,70.01,24.17,0.45,0.78,2.25,2.35
GUZMAN,154,167044,56.63,20892.69,4.11,0.42,1.29,0.15,0.27,93.77
BURNS,155,165925,56.25,20948.94,80.26,14.06,0.59,0.78,1.83,2.48
CRAWFORD,156,164457,55.75,21004.69,68.56,25.65,0.49,0.75,2.3,2.24
OLSON,157,164035,55.61,21060.3,94.76,0.4,0.66,0.72,1.43,2.03
SIMPSON,158,163181,55.32,21115.62,70.78,23.09,0.53,0.78,2.3,2.53
PORTER,159,163054,55.28,21170.9,68.57,25.4,0.55,0.72,2.31,2.45
HUNTER,160,162440,55.07,21225.97,60.78,32.69,0.48,1.02,2.63,2.41
GORDON,161,161833,54.86,21280.83,64.25,29.15,0.62,0.68,2.26,3.04
MENDEZ,162,161717,54.82,21335.65,4.48,0.78,0.48,0.24,0.18,93.83
SILVA,163,161633,54.79,21390.45,32.61,2.03,2.01,0.39,1.62,61.34
SHAW,164,160400,54.38,21444.83,72.07,21.19,1.48,0.75,2.15,2.36
SNYDER,165,160262,54.33,21499.16,94.07,1.46,0.59,0.52,1.45,1.92
MASON,166,160213,54.31,21553.47,68.82,25.1,0.53,0.76,2.38,2.41
DIXON,167,159480,54.06,21607.53,54.25,39.26,0.43,0.96,2.61,2.49
MUNOZ,168,158483,53.73,21661.26,4.89,0.3,0.91,0.21,0.21,93.48
HUNT,169,158421,53.71,21714.97,73.57,16.93,0.61,4.23,2.35,2.31
HICKS,170,158320,53.67,21768.64,67.37,26.88,0.42,0.98,2.23,2.13
HOLMES,171,156780,53.15,21821.79,56.79,37.28,0.42,0.76,2.37,2.38
PALMER,172,156601,53.09,21874.88,75.08,18.57,0.55,0.81,2.11,2.87
WAGNER,173,155795,52.82,21927.69,92.47,2.6,0.58,0.54,1.4,2.41
BLACK,174,154738,52.46,21980.15,74.63,19,0.53,1.44,2.08,2.33
ROBERTSON,175,153666,52.09,22032.24,73.42,20.61,0.52,0.89,2.11,2.46
BOYD,176,153469,52.03,22084.27,63.18,30.77,0.51,1.02,2.36,2.16
ROSE,177,153397,52,22136.27,82.08,11.61,0.72,0.64,1.99,2.96
STONE,178,153329,51.98,22188.25,85.95,8.13,0.65,0.95,1.93,2.39
SALAZAR,179,152703,51.77,22240.02,5.62,0.27,1.69,0.46,0.3,91.65
FOX,180,152334,51.64,22291.66,88.08,6.06,0.56,1.03,1.84,2.42
WARREN,181,152147,51.58,22343.24,70.08,23.94,0.55,0.84,2.26,2.33
MILLS,182,151942,51.51,22394.75,77.5,16.77,0.51,0.82,2.06,2.33
MEYER,183,150895,51.15,22445.9,94.84,0.52,0.71,0.29,1.37,2.28
RICE,184,149500,50.68,22496.59,77.63,16.74,0.57,0.74,1.99,2.33
SCHMIDT,185,147034,49.85,22546.43,95.15,0.37,0.61,0.34,1.19,2.34
GARZA,186,147005,49.84,22596.27,6.66,0.24,0.17,0.28,0.15,92.49
DANIELS,187,146570,49.69,22645.96,54.67,38.54,0.51,0.91,2.68,2.7
FERGUSON,188,146426,49.64,22695.59,74.83,19.19,0.6,0.62,2.23,2.53
NICHOLS,189,145584,49.35,22744.95,82.42,11.88,0.52,0.76,1.99,2.43
STEPHENS,190,144646,49.04,22793.98,73.9,20.31,0.46,0.67,2.12,2.54
SOTO,191,144451,48.97,22842.95,5.15,0.48,0.44,0.26,0.22,93.45
WEAVER,192,143837,48.76,22891.72,84.41,9.99,0.52,1.09,1.87,2.12
RYAN,193,143452,48.63,22940.35,91.65,3.02,0.89,0.43,1.46,2.55
GARDNER,194,142894,48.44,22988.79,75.01,19.4,0.56,0.7,2.04,2.29
PAYNE,195,142601,48.34,23037.13,71.55,22.63,0.45,0.58,2.37,2.42
GRANT,196,142277,48.23,23085.37,55.36,37.91,0.52,1.08,2.35,2.79
DUNN,197,141427,47.94,23133.31,80.08,14.39,0.75,0.59,1.94,2.25
KELLEY,198,140693,47.7,23181.01,83.78,10.8,0.55,0.66,2.03,2.18
SPENCER,199,139951,47.44,23228.45,69.41,23.22,0.76,1.47,2.48,2.67
HAWKINS,200,139751,47.38,23275.83,61.08,32.75,0.48,0.69,2.5,2.5
ARNOLD,201,138893,47.09,23322.91,81.27,13.34,0.57,0.55,1.87,2.41
PIERCE,202,138629,47,23369.91,80.98,12.86,0.53,1.06,2.1,2.47
VAZQUEZ,203,138322,46.89,23416.8,3.53,0.35,0.18,0.06,0.12,95.75
HANSEN,204,137977,46.78,23463.58,94.22,0.53,0.74,0.49,1.47,2.54
PETERS,205,137513,46.62,23510.19,82.86,10.41,0.98,1.33,1.86,2.55
SANTOS,206,137232,46.52,23556.72,20.06,2.31,13.32,0.27,1.85,62.2
HART,207,137184,46.51,23603.22,80.54,13.64,0.56,0.73,2.01,2.52
BRADLEY,208,136720,46.35,23649.57,69.12,25.09,0.44,0.82,2.19,2.34
KNIGHT,209,136713,46.35,23695.92,72.31,21.61,0.52,0.9,2.17,2.5
ELLIOTT,210,135765,46.03,23741.94,81.62,12.96,0.54,0.66,2,2.21
CUNNINGHAM,211,135718,46.01,23787.95,73.16,21.18,0.53,0.48,2.07,2.58
DUNCAN,212,135187,45.83,23833.78,76.39,17.33,0.52,0.99,2.21,2.55
ARMSTRONG,213,135044,45.78,23879.56,72.39,21.01,0.58,0.93,2.31,2.79
HUDSON,214,134963,45.75,23925.32,66.88,27.42,0.46,0.84,2.2,2.2
CARROLL,215,134317,45.53,23970.85,82.95,11.48,0.61,0.67,1.92,2.36
LANE,216,134227,45.5,24016.35,77.14,16.88,0.61,0.92,2.12,2.33
RILEY,217,133872,45.38,24061.74,72.79,21.27,0.51,0.87,2.08,2.48
ANDREWS,218,133799,45.36,24107.1,71.78,21.58,0.78,1.09,2.2,2.57
ALVARADO,219,133501,45.26,24152.35,4.29,0.33,0.53,0.23,0.2,94.42
RAY,220,133171,45.15,24197.5,74.97,17.54,1.94,0.93,2.05,2.56
DELGADO,221,132985,45.08,24242.58,5.57,0.72,0.8,0.19,0.25,92.47
BERRY,222,132812,45.02,24287.61,70.66,23.11,0.56,0.8,2.34,2.53
PERKINS,223,131440,44.56,24332.17,69.45,24.6,0.53,0.73,2.33,2.37
HOFFMAN,224,131401,44.55,24376.71,94.08,1.26,0.63,0.56,1.34,2.12
JOHNSTON,225,131373,44.54,24421.25,91.62,2.41,0.68,0.83,1.84,2.62
MATTHEWS,226,131303,44.51,24465.76,63.37,30.67,0.62,0.58,2.36,2.39
PENA,227,130776,44.33,24510.1,5.34,0.52,1.09,0.31,0.24,92.5
RICHARDS,228,130529,44.25,24554.35,78.67,14.86,0.66,1.04,1.96,2.81
CONTRERAS,229,130164,44.13,24598.47,4.19,0.21,0.55,0.25,0.16,94.64
WILLIS,230,130152,44.12,24642.59,62.22,31.07,0.51,1.33,2.55,2.31
CARPENTER,231,129898,44.04,24686.63,86.21,8.49,0.57,0.68,1.87,2.18
LAWRENCE,232,129699,43.97,24730.6,68.87,24.65,0.74,0.93,2.3,2.5
SANDOVAL,233,128948,43.71,24774.31,5.29,0.21,0.55,1.77,0.25,91.93
GUERRERO,234,128677,43.62,24817.94,4.55,0.33,2.2,0.22,0.43,92.27
GEORGE,235,128625,43.6,24861.54,66.47,18.46,7.62,2.24,2.04,3.16
CHAPMAN,236,127939,43.37,24904.91,79.51,14.62,0.57,0.81,2.03,2.47
RIOS,237,127794,43.32,24948.24,4.99,0.44,0.43,0.32,0.22,93.61
ESTRADA,238,127470,43.21,24991.45,4.58,0.43,1.66,0.2,0.28,92.86
ORTEGA,239,127256,43.14,25034.59,4.77,0.29,1.15,0.43,0.25,93.11
WATKINS,240,127083,43.08,25077.67,62.03,32.27,0.42,0.64,2.56,2.09
GREENE,241,126101,42.75,25120.42,67.7,26.54,0.48,0.73,2.34,2.21
NUNEZ,242,125350,42.49,25162.92,5.28,0.67,0.83,0.26,0.23,92.72
WHEELER,243,125058,42.4,25205.31,80.96,13.29,0.5,0.93,1.97,2.35
VALDEZ,244,124995,42.37,25247.69,6.29,0.48,3.35,0.65,0.56,88.66
HARPER,245,124461,42.19,25289.88,67.9,26.22,0.49,0.72,2.36,2.31
BURKE,246,122877,41.66,25331.54,85.93,8.76,0.68,0.54,1.68,2.41
LARSON,247,122587,41.56,25373.09,94.79,0.49,0.74,0.62,1.41,1.95
SANTIAGO,248,122212,41.43,25414.52,5.41,1.31,4.5,0.14,0.58,88.06
MALDONADO,249,121526,41.2,25455.72,4.97,0.5,0.4,0.19,0.23,93.71
MORRISON,250,121130,41.06,25496.79,79.11,14.82,0.61,0.98,1.99,2.49
FRANKLIN,251,120621,40.89,25537.68,54.38,38.76,0.54,0.83,2.78,2.7
CARLSON,252,120552,40.87,25578.55,94.83,0.46,0.77,0.49,1.38,2.07
AUSTIN,253,119706,40.58,25619.13,67.47,26.01,0.61,0.8,2.34,2.78
DOMINGUEZ,254,119304,40.44,25659.57,5.04,0.38,1.03,0.25,0.21,93.09
CARR,255,119076,40.37,25699.94,73.61,20.82,0.49,0.59,2.08,2.41
LAWSON,256,119053,40.36,25740.3,73.84,20.74,0.43,0.65,2.15,2.2
JACOBS,257,118614,40.21,25780.51,74.28,16.71,0.59,3.75,2.16,2.52
OBRIEN,258,118557,40.19,25820.7,93.85,1.29,0.76,0.37,1.42,2.32
LYNCH,259,117708,39.9,25860.6,82.3,11.74,0.59,1.07,1.78,2.52
SINGH,260,116749,39.58,25900.18,4.29,4.48,82.77,1.15,4.81,2.5
VEGA,261,116673,39.55,25939.74,5.53,0.56,0.73,0.22,0.29,92.68
BISHOP,262,116618,39.53,25979.27,84.44,10.14,0.61,0.57,1.86,2.37
MONTGOMERY,263,115953,39.31,26018.58,67.86,26.23,0.59,0.61,2.37,2.35
OLIVER,264,115900,39.29,26057.87,64.19,27.45,0.68,0.74,2.43,4.52
JENSEN,265,115679,39.22,26097.09,93.97,0.44,0.73,0.82,1.4,2.64
HARVEY,266,115662,39.21,26136.3,68,25,0.52,1.71,2.25,2.52
WILLIAMSON,267,114959,38.97,26175.27,77.17,17.41,0.5,0.7,1.94,2.27
GILBERT,268,114940,38.97,26214.23,77.8,15.92,0.57,0.69,2.04,2.98
DEAN,269,114030,38.66,26252.89,76.61,16.82,1.06,0.68,2.2,2.63
SIMS,270,113374,38.43,26291.33,54.29,39.89,0.41,0.55,2.62,2.24
ESPINOZA,271,112154,38.02,26329.35,4.03,0.23,0.38,0.27,0.17,94.91
HOWELL,272,112041,37.98,26367.33,79.48,15.08,0.46,0.72,1.8,2.46
LI,273,111786,37.9,26405.23,1.49,0.19,96.78,0.02,0.89,0.63
WONG,274,111371,37.76,26442.98,3.48,0.79,86.49,0.04,5.2,4
REID,275,111360,37.75,26480.73,59.83,34.1,0.61,0.56,2.28,2.62
HANSON,276,111144,37.68,26518.41,92.11,2.85,0.7,0.67,1.55,2.11
LE,277,110967,37.62,26556.03,1.49,0.23,95.59,0.03,1.92,0.75
MCCOY,278,110744,37.54,26593.57,66.88,26.71,0.46,0.89,2.43,2.64
GARRETT,279,110697,37.53,26631.1,69.96,24.45,0.44,0.6,2.34,2.2
BURTON,280,110529,37.47,26668.57,67.32,27.06,0.53,0.51,2.25,2.34
FULLER,281,110116,37.33,26705.9,73.22,21.06,0.6,0.63,2.16,2.33
WANG,282,109883,37.25,26743.15,2.59,0.29,95.24,0.02,1.5,0.35
WEBER,283,109433,37.1,26780.25,94.29,1.29,0.63,0.36,1.25,2.18
WELCH,284,108987,36.95,26817.2,83.47,10.44,0.54,1.11,1.9,2.55
ROJAS,285,108421,36.76,26853.95,4.12,0.37,0.76,0.12,0.16,94.46
LUCAS,286,107690,36.51,26890.46,69.1,18.51,1.63,0.52,2.19,8.05
MARQUEZ,287,107533,36.45,26926.91,5.1,0.54,2.83,0.37,0.46,90.7
FIELDS,288,107522,36.45,26963.37,57.66,35.78,0.39,1.24,2.66,2.28
PARK,289,106696,36.17,26999.54,23.34,0.79,72.98,0.16,1.74,1
YANG,290,106033,35.95,27035.48,1.03,0.2,96.81,0.02,1.5,0.45
LITTLE,291,105936,35.91,27071.4,70.11,24.26,0.44,1.26,1.93,2.01
BANKS,292,105833,35.88,27107.27,39.27,54.51,0.36,0.43,2.98,2.45
PADILLA,293,105365,35.72,27142.99,6.15,0.4,2.1,0.79,0.41,90.16
DAY,294,105091,35.63,27178.62,83.08,10.44,1.02,1.08,1.97,2.4
WALSH,295,105079,35.62,27214.24,94.48,1.11,0.65,0.23,1.35,2.2
BOWMAN,296,105007,35.6,27249.84,80.82,13.62,0.48,0.8,2.05,2.23
SCHULTZ,297,104888,35.56,27285.4,94.81,0.7,0.59,0.41,1.28,2.22
LUNA,298,104518,35.43,27320.83,8.15,0.4,1.84,0.41,0.41,88.78
FOWLER,299,104515,35.43,27356.26,81.41,12.89,0.48,0.96,2.1,2.16
MEJIA,300,104057,35.28,27391.54,3.37,0.45,1.33,0.14,0.2,94.51
DAVIDSON,301,103930,35.23,27426.77,84.38,10.08,0.65,0.65,1.88,2.35
ACOSTA,302,103418,35.06,27461.83,6.96,0.62,2.26,0.26,0.43,89.48
BREWER,303,103318,35.03,27496.86,81.3,12.64,0.42,1.35,2.09,2.19
MAY,304,103306,35.02,27531.88,83.55,9.57,1.22,0.73,1.89,3.04
HOLLAND,305,102538,34.76,27566.64,76.77,17.67,0.46,0.57,2.16,2.37
JUAREZ,306,101949,34.56,27601.2,3.42,0.22,0.39,0.16,0.15,95.66
NEWMAN,307,101931,34.56,27635.75,83.03,11.08,0.61,0.69,1.99,2.6
PEARSON,308,101836,34.52,27670.28,72.14,22.51,0.56,0.41,2.14,2.24
CURTIS,309,101801,34.51,27704.79,77.9,15.84,0.53,1.03,2.13,2.57
CORTEZ,310,101694,34.47,27739.26,6,0.7,2.92,0.29,0.44,89.65
DOUGLAS,311,101458,34.39,27773.66,58.62,34.67,0.52,0.7,2.69,2.8
SCHNEIDER,312,101290,34.34,27808,95.35,0.43,0.59,0.27,1.2,2.16
JOSEPH,313,100959,34.23,27842.22,29.59,54.19,9.76,0.99,2.49,2.98
BARRETT,314,100104,33.94,27876.16,80.7,13.4,0.67,0.62,1.96,2.65
NAVARRO,315,99807,33.84,27909.99,6.66,0.38,4.04,0.23,0.55,88.14
FIGUEROA,316,98468,33.38,27943.38,4.93,0.84,1,0.15,0.26,92.82
KELLER,317,98268,33.31,27976.69,91.4,3.86,0.57,0.46,1.45,2.26
AVILA,318,97314,32.99,28009.68,7.02,0.43,1.11,0.23,0.26,90.96
WADE,319,97040,32.9,28042.58,64.94,29.08,0.47,0.74,2.44,2.34
MOLINA,320,96979,32.88,28075.45,5.82,0.51,2.28,0.64,0.42,90.32
STANLEY,321,96867,32.84,28108.29,78.79,15.1,0.74,1.16,1.95,2.27
HOPKINS,322,96810,32.82,28141.11,73.56,20.66,0.48,0.92,2.25,2.14
CAMPOS,323,96111,32.58,28173.69,7.11,0.39,1.38,0.21,0.39,90.52
BARNETT,324,95681,32.44,28206.13,76.44,17.47,0.43,0.9,2.2,2.56
BATES,325,95622,32.42,28238.55,75.35,18.9,0.55,0.76,2.03,2.41
CHAMBERS,326,94988,32.2,28270.75,65.7,28.5,0.45,0.58,2.29,2.47
CALDWELL,327,93944,31.85,28302.6,68.05,26.18,0.42,0.74,2.32,2.29
BECK,328,93786,31.79,28334.39,90.27,4.53,0.74,0.63,1.66,2.17
LAMBERT,329,93678,31.76,28366.15,83.66,9.88,0.59,1.3,1.77,2.79
MIRANDA,330,93628,31.74,28397.89,12.32,1.34,4.21,0.42,0.75,80.97
BYRD,331,92904,31.5,28429.38,59.01,34.59,0.36,1.3,2.64,2.11
CRAIG,332,92507,31.36,28460.74,79.03,15.15,0.61,0.78,2.06,2.37
AYALA,333,92463,31.35,28492.09,4.37,0.54,0.47,0.2,0.18,94.25
LOWE,334,92260,31.28,28523.37,73.04,19.35,1.68,0.96,2.41,2.56
FRAZIER,335,92152,31.24,28554.61,56.1,37.36,0.4,1.36,2.51,2.27
POWERS,336,91970,31.18,28585.78,89.6,5.15,0.65,0.55,1.65,2.39
NEAL,337,91694,31.08,28616.87,62.1,31.84,0.6,0.68,2.61,2.16
LEONARD,338,91475,31.01,28647.88,80.38,14.07,0.59,0.77,1.77,2.42
GREGORY,339,91384,30.98,28678.86,78.64,15.56,0.57,0.75,1.99,2.49
CARRILLO,340,91129,30.89,28709.75,5.13,0.24,0.68,0.36,0.24,93.33
SUTTON,341,90964,30.84,28740.59,72.77,21.7,0.48,0.68,2.24,2.13
FLEMING,342,90677,30.74,28771.33,71.71,22.76,0.62,0.52,2.21,2.19
RHODES,343,90670,30.74,28802.07,74.76,20.04,0.48,0.62,1.92,2.17
SHELTON,344,90517,30.69,28832.75,73.49,20.64,0.47,0.67,2.5,2.23
SCHWARTZ,345,90071,30.53,28863.29,95.93,0.44,0.57,0.21,0.96,1.89
NORRIS,346,89796,30.44,28893.73,79.88,14.41,0.52,0.94,2.04,2.2
JENNINGS,347,89700,30.41,28924.14,70.87,23.06,0.7,0.66,2.25,2.45
WATTS,348,89649,30.39,28954.53,68.62,25.52,0.48,0.77,2.35,2.26
DURAN,349,89401,30.31,28984.84,9.93,0.54,1.23,0.78,0.41,87.11
WALTERS,350,89376,30.3,29015.14,82.92,11.29,0.65,0.82,1.69,2.63
COHEN,351,89091,30.2,29045.34,88.89,5.97,0.66,0.11,1.08,3.29
MCDANIEL,352,88728,30.08,29075.42,76.18,18.35,0.43,0.64,2.05,2.35
MORAN,353,88615,30.04,29105.46,64.14,2.43,0.7,0.79,1.13,30.81
PARKS,354,88586,30.03,29135.49,69.39,24.91,0.59,0.67,2.38,2.06
STEELE,355,88230,29.91,29165.4,78.25,15.6,0.53,1.15,2.02,2.43
VAUGHN,356,88060,29.85,29195.25,71.52,22.67,0.44,0.75,2.34,2.27
BECKER,357,87859,29.78,29225.04,94.89,0.52,0.66,0.34,1.26,2.33
HOLT,358,87531,29.67,29254.71,79.38,14.85,0.57,0.87,2.24,2.1
DELEON,359,87414,29.63,29284.35,6.64,1.04,8.31,0.21,0.74,83.06
BARKER,360,87162,29.55,29313.9,86.48,7.83,0.68,0.65,1.92,2.44
TERRY,361,87000,29.49,29343.39,66.28,27.34,0.56,0.7,2.44,2.68
HALE,362,86618,29.36,29372.75,82.23,11.41,0.54,1.19,2.21,2.42
LEON,363,86363,29.28,29402.03,9.99,2.95,1.04,0.37,0.44,85.21
HAIL,364,86240,29.24,29431.27,73.14,21.6,0.37,0.53,2.09,2.27
BENSON,365,86081,29.18,29460.45,77.85,16.24,0.79,0.77,1.95,2.41
HAYNES,366,85974,29.15,29489.6,61.08,33.19,0.42,0.58,2.25,2.47
HORTON,367,85195,28.88,29518.48,69.99,24.3,0.52,0.69,2.27,2.23
MILES,368,84942,28.8,29547.27,61.33,32.35,0.49,0.78,2.61,2.44
LYONS,369,84516,28.65,29575.92,74.88,19.17,0.5,1.01,2.1,2.34
PHAM,370,84320,28.59,29604.51,0.9,0.2,96.33,0.03,1.81,0.72
GRAVES,371,84179,28.54,29633.05,69.64,24.19,0.48,0.71,2.38,2.6
BUSH,372,84018,28.48,29661.53,71.73,22.44,0.57,0.82,2.15,2.29
THORNTON,373,83967,28.47,29689.99,67.42,27.08,0.46,0.62,2.34,2.06
WOLFE,374,83928,28.45,29718.45,90.77,3.6,0.52,1.37,1.66,2.09
WARNER,375,83781,28.4,29746.85,84.22,10.24,0.65,0.61,1.87,2.41
CABRERA,376,83621,28.35,29775.2,4.47,0.41,3.52,0.12,0.45,91.02
MCKINNEY,377,83616,28.35,29803.54,68.84,25.18,0.4,0.88,2.37,2.34
MANN,378,83510,28.31,29831.85,80.39,9.9,3.61,1.32,2.12,2.66
ZIMMERMAN,379,83265,28.23,29860.08,93.84,2.32,0.52,0.3,1.18,1.85
